team1;team2;group;team1_goals;team2_goals;team1_market_value_distance;team2_market_value_distance
Romania;France;A;1;2;-0.73699659675544;0.73699659675544
Switzerland;Albania;A;1;0;0.22050771289673976;-0.22050771289673976
Switzerland;Romania;A;1;1;0.2003358300015041;-0.2003358300015041
Albania;France;A;0;2;-0.7571684796506757;0.7571684796506757
Albania;Romania;A;1;0;-0.020171882895235665;0.020171882895235665
France;Switzerland;A;0;0;0.5366607667539359;-0.5366607667539359
Slovakia;Wales;B;1;2;-0.1576612961960012;0.1576612961960012
Russia;England;B;1;1;-0.5506525020986454;0.5506525020986454
Slovakia;Russia;B;2;1;-0.09376230473756789;0.09376230473756789
Wales;England;B;1;2;-0.48675351064021205;0.48675351064021205
Wales;Russia;B;3;0;0.06389899145843331;-0.06389899145843331
England;Slovakia;B;0;0;0.6444148068362132;-0.6444148068362132
Northern Ireland;Poland;C;0;1;-0.25984957364607675;0.25984957364607675
Ukraine;Germany;C;0;2;-0.8015416368367048;0.8015416368367048
Northern Ireland;Ukraine;C;2;0;-0.13323670126358045;0.13323670126358045
Poland;Germany;C;0;0;-0.6749287644542085;0.6749287644542085
Poland;Ukraine;C;1;0;0.12661287238249633;-0.12661287238249633
Germany;Northern Ireland;C;1;0;0.9347783381002852;-0.9347783381002852
Croatia;Turkey;D;1;0;0.17428668839947026;-0.17428668839947026
Czech Republic;Spain;D;0;1;-0.8747834074087459;0.8747834074087459
Croatia;Czech Republic;D;2;2;0.3849857801535639;-0.3849857801535639
Turkey;Spain;D;0;3;-0.6640843156546523;0.6640843156546523
Turkey;Czech Republic;D;2;0;0.21069909175409365;-0.21069909175409365
Spain;Croatia;D;1;2;0.48979762725518206;-0.48979762725518206
Sweden;Republic of Ireland;E;1;1;0.0001552417296000752;-0.0001552417296000752
Italy;Belgium;E;2;0;-0.3623458419636077;0.3623458419636077
Sweden;Italy;E;0;1;-0.28033190105376654;0.28033190105376654
Republic of Ireland;Belgium;E;0;3;-0.6428329847469743;0.6428329847469743
Republic of Ireland;Italy;E;1;0;-0.2804871427833666;0.2804871427833666
Belgium;Sweden;E;1;0;0.6426777430173742;-0.6426777430173742
Hungary;Austria;F;2;0;-0.1787528675515419;0.1787528675515419
Iceland;Portugal;F;1;1;-0.5595001512302148;0.5595001512302148
Hungary;Iceland;F;1;1;-0.04168076863428484;0.04168076863428484
Austria;Portugal;F;0;0;-0.4224280523129577;0.4224280523129577
Austria;Iceland;F;1;2;0.13707209891725708;-0.13707209891725708
Portugal;Hungary;F;3;3;0.6011809198644996;-0.6011809198644996
Poland;Switzerland;;1;1;0.02846921450566886;-0.02846921450566886
Northern Ireland;Wales;;0;1;-0.24107085480240248;0.24107085480240248
Portugal;Croatia;;1;0;0.15649655480979463;-0.15649655480979463
Republic of Ireland;France;;1;2;-0.6789433950330279;0.6789433950330279
Slovakia;Germany;;0;3;-0.8513687794938839;0.8513687794938839
Belgium;Hungary;;4;0;0.752744635611518;-0.752744635611518
Spain;Italy;;0;2;0.5440831986619767;-0.5440831986619767
Iceland;England;;2;1;-0.7069575168115576;0.7069575168115576
Portugal;Poland;;1;1;0.32051742621519497;-0.32051742621519497
Belgium;Wales;;1;3;0.49085986080588767;-0.49085986080588767
Italy;Germany;;1;1;-0.5651934644556027;0.5651934644556027
Iceland;France;;2;5;-0.7471742772632869;0.7471742772632869
Wales;Portugal;;0;2;-0.33929614505886924;0.33929614505886924
France;Germany;;2;0;-0.1667372122059414;0.1667372122059414
France;Portugal;;0;1;0.1876741260330721;-0.1876741260330721
France;Romania;A;2;1;0.73699659675544;-0.73699659675544
Albania;Switzerland;A;0;1;-0.22050771289673976;0.22050771289673976
Romania;Switzerland;A;1;1;-0.2003358300015041;0.2003358300015041
France;Albania;A;2;0;0.7571684796506757;-0.7571684796506757
Romania;Albania;A;0;1;0.020171882895235665;-0.020171882895235665
Switzerland;France;A;0;0;-0.5366607667539359;0.5366607667539359
Wales;Slovakia;B;2;1;0.1576612961960012;-0.1576612961960012
England;Russia;B;1;1;0.5506525020986454;-0.5506525020986454
Russia;Slovakia;B;1;2;0.09376230473756789;-0.09376230473756789
England;Wales;B;2;1;0.48675351064021205;-0.48675351064021205
Russia;Wales;B;0;3;-0.06389899145843331;0.06389899145843331
Slovakia;England;B;0;0;-0.6444148068362132;0.6444148068362132
Poland;Northern Ireland;C;1;0;0.25984957364607675;-0.25984957364607675
Germany;Ukraine;C;2;0;0.8015416368367048;-0.8015416368367048
Ukraine;Northern Ireland;C;0;2;0.13323670126358045;-0.13323670126358045
Germany;Poland;C;0;0;0.6749287644542085;-0.6749287644542085
Ukraine;Poland;C;0;1;-0.12661287238249633;0.12661287238249633
Northern Ireland;Germany;C;0;1;-0.9347783381002852;0.9347783381002852
Turkey;Croatia;D;0;1;-0.17428668839947026;0.17428668839947026
Spain;Czech Republic;D;1;0;0.8747834074087459;-0.8747834074087459
Czech Republic;Croatia;D;2;2;-0.3849857801535639;0.3849857801535639
Spain;Turkey;D;3;0;0.6640843156546523;-0.6640843156546523
Czech Republic;Turkey;D;0;2;-0.21069909175409365;0.21069909175409365
Croatia;Spain;D;2;1;-0.48979762725518206;0.48979762725518206
Republic of Ireland;Sweden;E;1;1;-0.0001552417296000752;0.0001552417296000752
Belgium;Italy;E;0;2;0.3623458419636077;-0.3623458419636077
Italy;Sweden;E;1;0;0.28033190105376654;-0.28033190105376654
Belgium;Republic of Ireland;E;3;0;0.6428329847469743;-0.6428329847469743
Italy;Republic of Ireland;E;0;1;0.2804871427833666;-0.2804871427833666
Sweden;Belgium;E;0;1;-0.6426777430173742;0.6426777430173742
Austria;Hungary;F;0;2;0.1787528675515419;-0.1787528675515419
Portugal;Iceland;F;1;1;0.5595001512302148;-0.5595001512302148
Iceland;Hungary;F;1;1;0.04168076863428484;-0.04168076863428484
Portugal;Austria;F;0;0;0.4224280523129577;-0.4224280523129577
Iceland;Austria;F;2;1;-0.13707209891725708;0.13707209891725708
Hungary;Portugal;F;3;3;-0.6011809198644996;0.6011809198644996
Switzerland;Poland;;1;1;-0.02846921450566886;0.02846921450566886
Wales;Northern Ireland;;1;0;0.24107085480240248;-0.24107085480240248
Croatia;Portugal;;0;1;-0.15649655480979463;0.15649655480979463
France;Republic of Ireland;;2;1;0.6789433950330279;-0.6789433950330279
Germany;Slovakia;;3;0;0.8513687794938839;-0.8513687794938839
Hungary;Belgium;;0;4;-0.752744635611518;0.752744635611518
Italy;Spain;;2;0;-0.5440831986619767;0.5440831986619767
England;Iceland;;1;2;0.7069575168115576;-0.7069575168115576
Poland;Portugal;;1;1;-0.32051742621519497;0.32051742621519497
Wales;Belgium;;3;1;-0.49085986080588767;0.49085986080588767
Germany;Italy;;1;1;0.5651934644556027;-0.5651934644556027
France;Iceland;;5;2;0.7471742772632869;-0.7471742772632869
Portugal;Wales;;2;0;0.33929614505886924;-0.33929614505886924
Germany;France;;0;2;0.1667372122059414;-0.1667372122059414
Portugal;France;;1;0;-0.1876741260330721;0.1876741260330721
