team1;team2;group;team1_market_value_distance;team2_market_value_distance
Germany;Scotland;A;0.4251815237647726;-0.4251815237647726
Hungary;Switzerland;A;-0.07759074557875571;0.07759074557875571
Germany;Hungary;A;0.45316831885370723;-0.45316831885370723
Scotland;Switzerland;A;-0.04960395048982111;0.04960395048982111
Switzerland;Germany;A;-0.3755775732749515;0.3755775732749515
Scotland;Hungary;A;0.027986795088934605;-0.027986795088934605
Spain;Croatia;B;0.43824423284810865;-0.43824423284810865
Italy;Albania;B;0.39201321177575194;-0.39201321177575194
Croatia;Albania;B;0.14264027515036665;-0.14264027515036665
Spain;Italy;B;0.18887129622272336;-0.18887129622272336
Albania;Spain;B;-0.5808845079984754;0.5808845079984754
Croatia;Italy;B;-0.2493729366253853;0.2493729366253853
Slovenia;Denmark;C;-0.19243123686377872;0.19243123686377872
Serbia;England;C;-0.786523178699976;0.786523178699976
Slovenia;Serbia;C;-0.11987946296870579;0.11987946296870579
Denmark;England;C;-0.7139714048049031;0.7139714048049031
England;Slovenia;C;0.9064026416686818;-0.9064026416686818
Denmark;Serbia;C;0.07255177389507295;-0.07255177389507295
Poland;Netherlands;D;-0.4189439091609757;0.4189439091609757
Austria;France;D;-0.6866745965237571;0.6866745965237571
Poland;Austria;D;-0.021615851110440287;0.021615851110440287
Netherlands;France;D;-0.28934653847322167;0.28934653847322167
Netherlands;Austria;D;0.3973280580505354;-0.3973280580505354
France;Poland;D;0.7082904476341974;-0.7082904476341974
Romania;Ukraine;E;-0.17785809079680648;0.17785809079680648
Belgium;Slovakia;E;0.2978085861096843;-0.2978085861096843
Slovakia;Ukraine;E;-0.13477228032702682;0.13477228032702682
Belgium;Romania;E;0.34089439657946397;-0.34089439657946397
Slovakia;Romania;E;0.043085810469779676;-0.043085810469779676
Ukraine;Belgium;E;-0.16303630578265751;0.16303630578265751
Turkey;Georgia;F;0.10705478689181237;-0.10705478689181237
Portugal;Czech Republic;F;0.592147862602612;-0.592147862602612
Georgia;Czech Republic;F;-0.019049505201973668;0.019049505201973668
Turkey;Portugal;F;-0.5041425809127733;0.5041425809127733
Georgia;Portugal;F;-0.6111973678045857;0.6111973678045857
Czech Republic;Turkey;F;-0.0880052816898387;0.0880052816898387
