No.,Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
1,GK,Salvatore Sirigu,12 January 1987 (aged 34),26,0,Torino,Italy
2,DF,Giovanni Di Lorenzo,4 August 1993 (aged 27),7,0,Napoli,Italy
3,DF,Giorgio Chiellini,14 August 1984 (aged 36),107,8,Juventus,Italy
4,DF,Leonardo Spinazzola,25 March 1993 (aged 28),14,0,Roma,Italy
5,MF,Manuel Locatelli,8 January 1998 (aged 23),10,1,Sassuolo,Italy
6,MF,Marco Verratti,5 November 1992 (aged 28),40,3,Paris Saint-Germain,Italy
7,MF,Gaetano Castrovilli,17 February 1997 (aged 24),2,0,Fiorentina,Italy
8,MF,Jorginho,20 December 1991 (aged 29),28,5,Chelsea,Italy
9,FW,Andrea Belotti,20 December 1993 (aged 27),33,12,Torino,Italy
10,FW,Lorenzo Insigne,4 June 1991 (aged 30),41,8,Napoli,Italy
11,FW,Domenico Berardi,1 August 1994 (aged 26),11,5,Sassuolo,Italy
12,MF,Matteo Pessina,21 April 1997 (aged 24),5,2,Atalanta,Italy
13,DF,Emerson Palmieri,3 August 1994 (aged 26),15,0,Chelsea,Italy
14,MF,Federico Chiesa,25 October 1997 (aged 23),25,1,Juventus,Italy
15,DF,Francesco Acerbi,10 February 1988 (aged 33),14,1,Lazio,Italy
16,MF,Bryan Cristante,3 March 1995 (aged 26),11,1,Roma,Italy
17,FW,Ciro Immobile,20 February 1990 (aged 31),46,13,Lazio,Italy
18,MF,Nicolò Barella,7 February 1997 (aged 24),23,5,Internazionale,Italy
19,DF,Leonardo Bonucci,1 May 1987 (aged 34),102,7,Juventus,Italy
20,MF,Federico Bernardeschi,16 February 1994 (aged 27),30,6,Juventus,Italy
21,GK,Gianluigi Donnarumma,25 February 1999 (aged 22),26,0,Milan,Italy
22,FW,Giacomo Raspadori,18 February 2000 (aged 21),1,0,Sassuolo,Italy
23,DF,Alessandro Bastoni,13 April 1999 (aged 22),5,0,Internazionale,Italy
24,DF,Alessandro Florenzi,11 March 1991 (aged 30),43,2,Paris Saint-Germain,Italy
25,DF,Rafael Tolói,10 October 1990 (aged 30),3,0,Atalanta,Italy
26,GK,Alex Meret,22 March 1997 (aged 24),2,0,Napoli,Italy
1,GK,Yann Sommer,17 December 1988 (aged 32),61,0,Borussia Mönchengladbach,Switzerland
2,DF,Kevin Mbabu,19 April 1995 (aged 26),12,0,VfL Wolfsburg,Switzerland
3,DF,Silvan Widmer,5 March 1993 (aged 28),16,1,Basel,Switzerland
4,DF,Nico Elvedi,30 September 1996 (aged 24),26,1,Borussia Mönchengladbach,Switzerland
5,DF,Manuel Akanji,19 July 1995 (aged 25),29,0,Borussia Dortmund,Switzerland
6,MF,Denis Zakaria,20 November 1996 (aged 24),32,3,Borussia Mönchengladbach,Switzerland
7,FW,Breel Embolo,14 February 1997 (aged 24),43,5,Borussia Mönchengladbach,Switzerland
8,MF,Remo Freuler,15 April 1992 (aged 29),29,3,Atalanta,Switzerland
9,FW,Haris Seferovic,22 February 1992 (aged 29),74,21,Benfica,Switzerland
10,MF,Granit Xhaka,27 September 1992 (aged 28),94,12,Arsenal,Switzerland
11,MF,Ruben Vargas,5 August 1998 (aged 22),12,2,FC Augsburg,Switzerland
12,GK,Yvon Mvogo,6 June 1994 (aged 27),4,0,PSV Eindhoven,Switzerland
13,DF,Ricardo Rodriguez,25 August 1992 (aged 28),81,9,Torino,Switzerland
14,MF,Steven Zuber,17 August 1991 (aged 29),37,8,Eintracht Frankfurt,Switzerland
15,MF,Djibril Sow,6 February 1997 (aged 24),16,0,Eintracht Frankfurt,Switzerland
16,MF,Christian Fassnacht,11 November 1993 (aged 27),8,3,Young Boys,Switzerland
17,DF,Loris Benito,7 January 1992 (aged 29),12,1,Bordeaux,Switzerland
18,FW,Admir Mehmedi,16 March 1991 (aged 30),74,10,VfL Wolfsburg,Switzerland
19,FW,Mario Gavranović,24 November 1989 (aged 31),30,14,Dinamo Zagreb,Switzerland
20,MF,Edimilson Fernandes,15 April 1996 (aged 25),22,2,Mainz 05,Switzerland
21,GK,Jonas Omlin,10 January 1994 (aged 27),2,0,Montpellier,Switzerland
21,GK,Gregor Kobel,6 December 1997 (aged 23),0,0,VfB Stuttgart,Switzerland
22,DF,Fabian Schär,20 December 1991 (aged 29),60,8,Newcastle United,Switzerland
23,MF,Xherdan Shaqiri,10 October 1991 (aged 29),91,23,Liverpool,Switzerland
24,DF,Bećir Omeragić,20 January 2002 (aged 19),4,0,Zürich,Switzerland
25,DF,Eray Cömert,4 February 1998 (aged 23),6,0,Basel,Switzerland
26,DF,Jordan Lotomba,29 September 1998 (aged 22),2,0,Nice,Switzerland
1,GK,Mert Günok,1 March 1989 (aged 32),22,0,İstanbul Başakşehir,Turkey
2,DF,Zeki Çelik,17 February 1997 (aged 24),20,2,Lille,Turkey
3,DF,Merih Demiral,5 March 1998 (aged 23),21,0,Juventus,Turkey
4,DF,Çağlar Söyüncü,23 May 1996 (aged 25),35,2,Leicester City,Turkey
5,MF,Okay Yokuşlu,9 March 1994 (aged 27),34,1,West Bromwich Albion,Turkey
6,MF,Ozan Tufan,23 March 1995 (aged 26),60,9,Fenerbahçe,Turkey
7,FW,Cengiz Ünder,14 July 1997 (aged 23),29,9,Leicester City,Turkey
8,MF,Dorukhan Toköz,21 May 1996 (aged 25),9,1,Beşiktaş,Turkey
9,FW,Kenan Karaman,5 March 1994 (aged 27),22,5,Fortuna Düsseldorf,Turkey
10,MF,Hakan Çalhanoğlu,8 February 1994 (aged 27),56,13,Milan,Turkey
11,FW,Yusuf Yazıcı,29 January 1997 (aged 24),31,1,Lille,Turkey
12,GK,Altay Bayındır,14 April 1998 (aged 23),1,0,Fenerbahçe,Turkey
13,DF,Umut Meraş,20 December 1995 (aged 25),13,0,Le Havre,Turkey
14,MF,Taylan Antalyalı,8 January 1995 (aged 26),6,0,Galatasaray,Turkey
15,DF,Ozan Kabak,25 March 2000 (aged 21),12,0,Liverpool,Turkey
16,FW,Enes Ünal,10 May 1997 (aged 24),22,2,Getafe,Turkey
17,FW,Burak Yılmaz,15 July 1985 (aged 35),67,29,Lille,Turkey
18,DF,Rıdvan Yılmaz,21 May 2001 (aged 20),2,0,Beşiktaş,Turkey
19,MF,Orkun Kökçü,29 December 2000 (aged 20),6,0,Feyenoord,Turkey
20,MF,Abdülkadir Ömür,25 June 1999 (aged 21),9,0,Trabzonspor,Turkey
21,MF,İrfan Kahveci,15 July 1995 (aged 25),18,0,Fenerbahçe,Turkey
22,DF,Kaan Ayhan,10 November 1994 (aged 26),37,4,Sassuolo,Turkey
23,GK,Uğurcan Çakır,5 April 1996 (aged 25),8,0,Trabzonspor,Turkey
24,MF,Kerem Aktürkoğlu,21 October 1998 (aged 22),1,0,Galatasaray,Turkey
25,DF,Mert Müldür,3 April 1999 (aged 22),8,0,Sassuolo,Turkey
26,MF,Halil Dervişoğlu,8 December 1999 (aged 21),2,1,Galatasaray,Turkey
1,GK,Wayne Hennessey,24 January 1987 (aged 34),96,0,Crystal Palace,Wales
2,DF,Chris Gunter,21 July 1989 (aged 31),101,0,Charlton Athletic,Wales
3,DF,Neco Williams,13 April 2001 (aged 20),11,1,Liverpool,Wales
4,DF,Ben Davies,24 April 1993 (aged 28),60,0,Tottenham Hotspur,Wales
5,DF,Tom Lockyer,3 December 1994 (aged 26),13,0,Luton Town,Wales
6,DF,Joe Rodon,22 October 1997 (aged 23),14,0,Tottenham Hotspur,Wales
7,MF,Joe Allen,14 March 1990 (aged 31),59,2,Stoke City,Wales
8,MF,Harry Wilson,22 March 1997 (aged 24),26,5,Cardiff City,Wales
9,FW,Tyler Roberts,12 January 1999 (aged 22),14,0,Leeds United,Wales
10,MF,Aaron Ramsey,26 December 1990 (aged 30),63,16,Juventus,Wales
11,FW,Gareth Bale,16 July 1989 (aged 31),92,33,Tottenham Hotspur,Wales
12,GK,Danny Ward,22 June 1993 (aged 27),13,0,Leicester City,Wales
13,FW,Kieffer Moore,8 August 1992 (aged 28),17,5,Cardiff City,Wales
