No.;Pos.;Player;Date of birth (age);Caps;Goals;Club;Country;MarketValue
1;GK;Salvatore Sirigu;12 January 1987 (aged 34);26;0;Torino;Italy;5333333.333333333
2;DF;Giovanni Di Lorenzo;4 August 1993 (aged 27);7;0;Napoli;Italy;20000000.0
3;DF;Giorgio Chiellini;14 August 1984 (aged 36);107;8;Juventus;Italy;3000000.0
4;DF;Leonardo Spinazzola;25 March 1993 (aged 28);14;0;Roma;Italy;17625000.0
5;MF;Manuel Locatelli;8 January 1998 (aged 23);10;1;Sassuolo;Italy;24500000.0
6;MF;Marco Verratti;5 November 1992 (aged 28);40;3;Paris Saint-Germain;Italy;60000000.0
7;MF;Gaetano Castrovilli;17 February 1997 (aged 24);2;0;Fiorentina;Italy;22500000.0
8;MF;Jorginho;20 December 1991 (aged 29);28;5;Chelsea;Italy;51000000.0
9;FW;Andrea Belotti;20 December 1993 (aged 27);33;12;Torino;Italy;35666666.666666664
10;FW;Lorenzo Insigne;4 June 1991 (aged 30);41;8;Napoli;Italy;48000000.0
11;FW;Domenico Berardi;1 August 1994 (aged 26);11;5;Sassuolo;Italy;24333333.333333332
12;MF;Matteo Pessina;21 April 1997 (aged 24);5;2;Atalanta;Italy;10375000.0
13;DF;Emerson Palmieri;3 August 1994 (aged 26);15;0;Chelsea;Italy;19000000.0
14;MF;Federico Chiesa;25 October 1997 (aged 23);25;1;Juventus;Italy;48000000.0
15;DF;Francesco Acerbi;10 February 1988 (aged 33);14;1;Lazio;Italy;12666666.666666666
16;MF;Bryan Cristante;3 March 1995 (aged 26);11;1;Roma;Italy;18666666.666666668
17;FW;Ciro Immobile;20 February 1990 (aged 31);46;13;Lazio;Italy;45000000.0
18;MF;Nicolò Barella;7 February 1997 (aged 24);23;5;Internazionale;Italy;47000000.0
19;DF;Leonardo Bonucci;1 May 1987 (aged 34);102;7;Juventus;Italy;17000000.0
20;MF;Federico Bernardeschi;16 February 1994 (aged 27);30;6;Juventus;Italy;27000000.0
21;GK;Gianluigi Donnarumma;25 February 1999 (aged 22);26;0;Milan;Italy;56500000.0
22;FW;Giacomo Raspadori;18 February 2000 (aged 21);1;0;Sassuolo;Italy;2475000.0
23;DF;Alessandro Bastoni;13 April 1999 (aged 22);5;0;Internazionale;Italy;40375000.0
24;DF;Alessandro Florenzi;11 March 1991 (aged 30);43;2;Paris Saint-Germain;Italy;12666666.666666666
25;DF;Rafael Tolói;10 October 1990 (aged 30);3;0;Atalanta;Italy;14500000.0
26;GK;Alex Meret;22 March 1997 (aged 24);2;0;Napoli;Italy;27000000.0
1;GK;Yann Sommer;17 December 1988 (aged 32);61;0;Borussia Mönchengladbach;Switzerland;9500000.0
2;DF;Kevin Mbabu;19 April 1995 (aged 26);12;0;VfL Wolfsburg;Switzerland;7500000.0
3;DF;Silvan Widmer;5 March 1993 (aged 28);16;1;Basel;Switzerland;4250000.0
4;DF;Nico Elvedi;30 September 1996 (aged 24);26;1;Borussia Mönchengladbach;Switzerland;29000000.0
5;DF;Manuel Akanji;19 July 1995 (aged 25);29;0;Borussia Dortmund;Switzerland;23333333.333333332
6;MF;Denis Zakaria;20 November 1996 (aged 24);32;3;Borussia Mönchengladbach;Switzerland;38000000.0
7;FW;Breel Embolo;14 February 1997 (aged 24);43;5;Borussia Mönchengladbach;Switzerland;14500000.0
8;MF;Remo Freuler;15 April 1992 (aged 29);29;3;Atalanta;Switzerland;22750000.0
